Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
prometheus-sovereign-intelligence,Prometheus Sovereign Intelligence,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,4999.00,FALSE,TRUE,active
quantum-hft-engine,Quantum HFT Engine,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,7999.00,FALSE,TRUE,active
neural-arbitrage-system,Neural Arbitrage System,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,3499.00,FALSE,TRUE,active
crypto-market-maker-pro,Crypto Market Maker Pro,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,5999.00,FALSE,TRUE,active
btc-eth-momentum-trader,BTC ETH Momentum Trader,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,1999.00,FALSE,TRUE,active
grid-trading-bot-suite,Grid Trading Bot Suite,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,999.00,FALSE,TRUE,active
scalping-algorithm-v4,Scalping Algorithm v4,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,2999.00,FALSE,TRUE,active
portfolio-rebalancer,Portfolio Rebalancer,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,1499.00,FALSE,TRUE,active
options-trading-framework,Options Trading Framework,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,4499.00,FALSE,TRUE,active
futures-hedging-system,Futures Hedging System,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,6499.00,FALSE,TRUE,active
twap-vwap-engine,TWAP VWAP Engine,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,3999.00,FALSE,TRUE,active
cross-chain-arbitrage,Cross-Chain Arbitrage,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,5499.00,FALSE,TRUE,active
sentiment-trading-bot,Sentiment Trading Bot,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,2499.00,FALSE,TRUE,active
mean-reversion-system,Mean Reversion System,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,1999.00,FALSE,TRUE,active
crypto-index-fund-builder,Crypto Index Fund Builder,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,3499.00,FALSE,TRUE,active
volatility-harvesting-bot,Volatility Harvesting Bot,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,4999.00,FALSE,TRUE,active
pair-trading-algorithm,Pair Trading Algorithm,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,2999.00,FALSE,TRUE,active
market-neutral-strategy,Market Neutral Strategy,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,5999.00,FALSE,TRUE,active
algorithmic-otc-desk,Algorithmic OTC Desk,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,8999.00,FALSE,TRUE,active
defi-yield-arbitrage,DeFi Yield Arbitrage,,Positive Change Institute LLC,Digital,Crypto Trading Systems,TRUE,Title,Default Title,,0,deny,manual,3999.00,FALSE,TRUE,active
